gene1	t1	31	80	73	47	95	34	39	57	19	35	7	16	2	18	2	6	2	10	15	2
gene2	t1	42	199	184	76	215	119	119	179	39	65	110	106	19	109	15	91	54	229	123	31
gene3	t1	39	44	41	57	86	49	30	73	19	19	48	54	11	44	8	19	11	83	28	15
gene4	t1	23	49	47	91	50	42	21	78	11	13	42	26	4	36	9	48	10	90	57	19
gene5	t1	42	71	56	58	136	57	34	83	24	44	93	45	11	44	13	35	11	91	76	20
gene6	t1	33	68	81	46	39	62	30	67	14	10	26	39	10	28	7	13	7	47	48	10
gene7	t1	50	74	50	84	87	82	23	101	26	22	78	79	14	71	12	52	14	47	34	25
gene8	t1	54	121	148	48	124	70	55	121	25	27	64	74	6	70	15	32	15	60	54	21
gene9	t1	50	67	124	110	78	72	43	110	22	51	45	47	8	53	11	38	12	135	78	29
gene10	t1	26	19	46	27	48	25	16	34	14	18	18	27	2	19	5	14	10	56	32	8
gene11	t1	23	82	101	47	89	49	32	67	17	26	69	52	15	68	11	41	28	61	43	15
gene12	t1	29	28	57	44	60	43	25	37	6	24	44	19	7	29	4	20	11	29	16	15
gene13	t1	35	78	83	74	48	76	33	36	8	25	46	28	8	54	4	15	16	64	18	19
gene14	t1	27	49	62	41	36	47	37	36	19	27	63	59	5	66	10	21	23	33	26	12
gene15	t1	54	73	164	123	143	84	71	79	29	49	40	59	10	70	7	45	35	84	72	13
gene16	t1	13	25	60	39	60	54	18	24	10	19	18	27	4	17	7	19	10	63	34	9
